Source data:
n_boxes: 6, m: 5, d: 4, p_change_box: 0.100, nExp = 10000
# 73, Balls: Blue, White, Green, Blue
# 74, Balls: Red, Red, Green, Red
# 75, Balls: Blue, Red, Blue, Blue
# 76, Balls: Black, Blue, White, Black
# 77, Balls: Blue, White, Red, Blue
# 78, Balls: Blue, Blue, Blue, Black
# 79, Balls: Red, Blue, Red, Red
# 80, Balls: Blue, Blue, Black, Blue
# 81, Balls: Blue, Green, Blue, Green
# 82, Balls: Green, Black, Black, Green
# 83, Balls: Red, White, Green, Blue
# 84, Balls: Blue, Black, Red, Red
# 85, Balls: Blue, Red, Blue, Black
# 86, Balls: Red, Red, Green, Blue
# 87, Balls: Red, White, Red, Blue
# 88, Balls: Red, Green, Red, White
# 89, Balls: Red, Red, Red, Green
# 90, Balls: Green, Red, Green, Blue
# 91, Balls: Blue, Blue, Blue, White
# 92, Balls: Green, Blue, Green, Black
# 93, Balls: Blue, Red, Blue, Blue
# 94, Balls: Blue, Blue, Blue, Red
# 95, Balls: Black, Green, Red, Red
# 96, Balls: White, Green, Red, Black
# 97, Balls: Red, Black, Blue, Blue
# 98, Balls: Blue, Red, Green, Blue
# 99, Balls: Red, Black, Red, Blue
# 100, Balls: Black, Green, Black, Red
# 101, Balls: Green, Blue, Black, Red
# 102, Balls: Black, Red, Blue, Red
# 103, Balls: Blue, Red, Blue, Green
# 104, Balls: Green, Black, Blue, Red
# 105, Balls: Red, Black, Blue, Green
# 106, Balls: Green, Green, Green, Black
# 107, Balls: Blue, Green, White, Black
# 108, Balls: Green, Blue, Green, Blue
# 109, Balls: Red, Red, Blue, Red
# 110, Balls: Red, Green, Red, Black
# 111, Balls: Blue, White, Red, Blue
# 112, Balls: Red, Blue, Blue, Blue
# 113, Balls: White, Green, Blue, Black
# 114, Balls: Blue, Red, Green, White
# 115, Balls: Blue, Black, Blue, Red
# 116, Balls: Red, Green, Green, Green
# 117, Balls: White, Black, Black, Blue
# 118, Balls: Green, Black, Blue, Black
# 119, Balls: White, Red, Blue, Blue
# 120, Balls: Black, Blue, Red, Red
# 121, Balls: Black, Black, Red, Red
# 122, Balls: Green, Green, Red, Red
# 123, Balls: Red, Green, Green, Blue
# 124, Balls: White, Red, White, Red
# 125, Balls: Green, Red, Red, Red
# 126, Balls: Red, Blue, Black, Black
# 127, Balls: Blue, Red, Green, Red
# 128, Balls: Green, Blue, Blue, Red
# 129, Balls: Red, Blue, Red, Red
# 130, Balls: Blue, Red, Blue, Red
# 131, Balls: Blue, Black, Red, Blue
# 132, Balls: Red, Red, Blue, Red
# 133, Balls: Black, Black, Red, Red
# 134, Balls: Blue, Red, Red, White
# 135, Balls: White, Red, Blue, Green
# 136, Balls: Red, Green, Red, Red
# 137, Balls: Green, Black, Blue, Red
# 138, Balls: White, Green, White, Blue
# 139, Balls: Green, Green, Red, Blue
# 140, Balls: White, Red, Red, Blue
# 141, Balls: Black, Green, Blue, Blue
# 142, Balls: Blue, Blue, Red, Blue
# 143, Balls: Red, Blue, Blue, Red
# 144, Balls: Red, Blue, Red, White
# 145, Balls: Blue, Red, Green, Red
# 146, Balls: Red, Red, White, Blue
# 147, Balls: Green, Green, Red, White
# 148, Balls: White, Black, Blue, Red
# 149, Balls: Red, Blue, Red, Green
# 150, Balls: Green, Red, Blue, Red
# 151, Balls: Red, Blue, Green, Black
# 152, Balls: Red, Red, Blue, Red
# 153, Balls: White, Green, Black, Blue
# 154, Balls: Blue, Blue, Blue, Red
# 155, Balls: Red, Green, Blue, Red
# 156, Balls: Blue, White, Blue, Blue
# 157, Balls: Red, Red, Green, Red
# 158, Balls: Red, Black, Black, Red
# 159, Balls: Blue, White, Blue, Red
# 160, Balls: Green, Blue, Blue, Black
# 161, Balls: Black, Black, Blue, Black
# 162, Balls: Red, Green, Blue, Green
# 163, Balls: Green, Red, White, Blue
# 164, Balls: Red, Black, Green, Green
# 165, Balls: Green, Black, Red, Blue
# 166, Balls: Green, Black, Blue, Blue
# 167, Balls: Red, Red, Blue, Blue
# 168, Balls: Black, Red, White, Blue
# 169, Balls: Blue, Red, Black, Blue
# 170, Balls: Red, White, Red, Green
# 171, Balls: Red, Black, Black, Blue
# 172, Balls: Red, White, Blue, Green
# 173, Balls: Green, Blue, Blue, Green
# 174, Balls: Green, Blue, White, Blue
# 175, Balls: White, Red, Red, Green
# 176, Balls: Red, Blue, White, Green
# 177, Balls: Black, Red, Red, Red
# 178, Balls: Green, White, Blue, Blue
# 179, Balls: Red, Blue, Green, Black
# 180, Balls: Red, White, Black, Green
# 181, Balls: Red, Blue, Red, Black
# 182, Balls: Blue, Blue, Blue, Blue
# 183, Balls: Green, Green, Blue, Black
# 184, Balls: Green, White, Red, Green
# 185, Balls: Red, Red, Green, Red
# 186, Balls: Black, Blue, Red, White
# 187, Balls: Red, Black, Black, Black
# 188, Balls: Red, White, Blue, White
# 189, Balls: Blue, Red, Red, Black
# 190, Balls: Blue, Red, Blue, Green
# 191, Balls: Red, Blue, Green, Black
# 192, Balls: White, Blue, Blue, Blue
# 193, Balls: White, Blue, Red, Blue
# 194, Balls: Red, Black, Red, Blue
# 195, Balls: Red, Red, Blue, Blue
# 196, Balls: Blue, Green, Red, Red
# 197, Balls: Black, Red, Blue, Blue
# 198, Balls: Blue, Blue, Green, Red
# 199, Balls: Blue, Red, Red, Blue
# 200, Balls: Black, Black, Blue, Blue
# 201, Balls: Black, Green, Black, White
# 202, Balls: Blue, Green, Red, Blue
# 203, Balls: Red, White, Blue, Blue
# 204, Balls: Blue, Blue, Blue, Red
# 205, Balls: Black, Red, Blue, Red
# 206, Balls: Black, Black, Blue, Blue
# 207, Balls: Red, Red, Red, White
# 208, Balls: Blue, Blue, Black, Red
# 209, Balls: Blue, Green, Black, White
# 210, Balls: White, Blue, Black, White
# 211, Balls: Blue, White, Blue, Red
# 212, Balls: Blue, White, Blue, Green
# 213, Balls: Red, Red, Blue, Red
# 214, Balls: White, Red, Red, Blue
# 215, Balls: Green, Blue, Green, Red
# 216, Balls: Green, Black, Blue, Red
# 217, Balls: Blue, Black, White, Blue
# 218, Balls: Red, Blue, Blue, Blue
# 219, Balls: White, Red, Blue, Red
# 220, Balls: Green, Blue, Blue, Blue
# 221, Balls: White, White, Red, White
# 222, Balls: Green, Green, Black, Blue
# 223, Balls: Red, Black, Green, Blue
# 224, Balls: White, Green, Blue, Blue
# 225, Balls: Blue, White, Green, Blue
# 226, Balls: Black, Green, Red, Blue
# 227, Balls: Red, Red, Blue, Red
# 228, Balls: Blue, Green, Black, Blue
# 229, Balls: Red, Green, White, Blue
# 230, Balls: Green, Black, Blue, Red
# 231, Balls: Blue, White, Red, Red
# 232, Balls: Red, Green, Red, Green
# 233, Balls: Red, Green, Blue, Black
# 234, Balls: Red, Black, Red, Blue
# 235, Balls: Black, Red, Red, Red
# 236, Balls: Red, Green, Black, Blue
# 237, Balls: Red, Red, Red, Blue
# 238, Balls: Red, Green, Blue, White
# 239, Balls: Red, Green, Red, Red
# 240, Balls: Blue, Black, Red, White
# 241, Balls: Blue, Red, Blue, Red
# 242, Balls: Blue, White, Blue, Black
# 243, Balls: White, Green, Red, Red
# 244, Balls: Blue, White, Black, Blue
# 245, Balls: Blue, Green, Blue, Green
# 246, Balls: Blue, Black, Red, Red
# 247, Balls: Black, Blue, White, Green
# 248, Balls: White, White, Blue, Blue
# 249, Balls: Red, Red, Blue, Blue
# 250, Balls: Red, Red, Red, White
# 251, Balls: Red, Red, Blue, Blue
# 252, Balls: Red, Blue, Red, Red
# 253, Balls: Blue, Red, Blue, Red
# 254, Balls: Blue, Blue, Red, Blue
# 255, Balls: White, Red, Blue, Red
# 256, Balls: Black, White, Red, Red
# 257, Balls: Red, Red, Blue, Green
# 258, Balls: Red, Green, Green, Green
# 259, Balls: Red, Green, White, Green
# 260, Balls: Red, Red, White, Blue
# 261, Balls: Red, Red, Green, Black
# 262, Balls: Red, Red, Red, Red
# 263, Balls: Green, Green, White, Green
# 264, Balls: Blue, Green, Green, Red
# 265, Balls: Black, Green, Blue, Green
# 266, Balls: Blue, Black, Blue, Red
# 267, Balls: Blue, Blue, Green, Red
# 268, Balls: Black, Blue, Blue, Blue
# 269, Balls: Red, Blue, Red, Black
# 270, Balls: Red, Blue, Green, Blue
# 271, Balls: Blue, Blue, Blue, White
# 272, Balls: Black, Black, White, White
# 273, Balls: Red, Green, Blue, Red
# 274, Balls: Red, Red, Red, Black
# 275, Balls: Green, Blue, Red, Blue
# 276, Balls: Green, Green, Red, Blue
# 277, Balls: White, Blue, Green, Blue
# 278, Balls: Green, Blue, Red, Green
# 279, Balls: Red, Blue, Red, Blue
# 280, Balls: Blue, Green, Black, Green
# 281, Balls: Red, Red, Blue, Red
# 282, Balls: Red, Red, Green, Red
# 283, Balls: Red, Blue, Black, Blue
# 284, Balls: Blue, Green, Green, Red
# 285, Balls: Green, Blue, White, Red
# 286, Balls: Blue, Green, Red, Black
# 287, Balls: Black, Blue, Blue, Red
# 288, Balls: Black, Red, Red, Blue
# 289, Balls: Blue, Blue, Blue, Blue
# 290, Balls: Blue, Blue, Blue, Blue
# 291, Balls: Red, White, White, Black
# 292, Balls: Blue, Red, Red, Red
# 293, Balls: White, Red, Green, Green
# 294, Balls: White, Red, Blue, Blue
# 295, Balls: Red, Red, White, Blue
# 296, Balls: Green, White, White, Blue
# 297, Balls: Blue, Red, Blue, Blue
# 298, Balls: Red, Black, Red, Red
# 299, Balls: White, Red, Blue, Green
# 300, Balls: Green, Green, White, Red
# 301, Balls: Green, Red, Red, Green
# 302, Balls: Blue, White, Red, Red
# 303, Balls: Red, White, Red, Green
# 304, Balls: Blue, Red, Red, White
# 305, Balls: Red, Black, Red, Black
# 306, Balls: Blue, Red, White, Blue
# 307, Balls: Red, Blue, Blue, Black
# 308, Balls: Blue, Black, Red, Red
# 309, Balls: Red, White, Green, Red
# 310, Balls: Blue, Red, Black, Blue
# 311, Balls: Green, Blue, Blue, Blue
# 312, Balls: Blue, White, Blue, White
# 313, Balls: Red, Blue, Red, Blue
# 314, Balls: Blue, White, Red, Green
# 315, Balls: Green, White, Green, Black
# 316, Balls: Green, Blue, Red, Blue
# 317, Balls: Red, Red, Blue, Blue
# 318, Balls: White, Red, White, Red
# 319, Balls: Red, Blue, Red, Blue
# 320, Balls: Black, Green, Blue, Red
# 321, Balls: Red, Red, Black, White
# 322, Balls: Green, Red, Green, Red
# 323, Balls: Black, White, Blue, Red
# 324, Balls: Red, Green, Blue, Blue
# 325, Balls: Blue, Blue, Green, Green
# 326, Balls: Black, Black, Black, Black
# 327, Balls: Blue, Red, White, Red
# 328, Balls: Green, Green, Blue, Red
# 329, Balls: Blue, White, Red, White
# 330, Balls: Green, Black, Green, Blue
# 331, Balls: Blue, Blue, Red, Red
# 332, Balls: Blue, Black, Black, Blue
# 333, Balls: Black, Red, White, Red
# 334, Balls: Red, Red, White, Red
# 335, Balls: Blue, Blue, Black, Red
# 336, Balls: Blue, Red, White, Red
# 337, Balls: Green, Blue, Red, Red
# 338, Balls: Blue, Red, Blue, White
# 339, Balls: Red, Blue, Red, Red
# 340, Balls: Red, Black, Black, White
# 341, Balls: Blue, Green, Blue, White
# 342, Balls: Blue, White, Blue, Blue
# 343, Balls: White, Blue, Green, White
# 344, Balls: White, Blue, Red, Red
# 345, Balls: Black, Black, Red, Red
# 346, Balls: Blue, Green, Green, Red
# 347, Balls: Green, Blue, Blue, White
# 348, Balls: Red, White, Blue, Blue
# 349, Balls: Blue, Red, Blue, Red
# 350, Balls: Red, Green, Blue, Green
# 351, Balls: Red, Black, Green, Red
# 352, Balls: Blue, White, Black, Red
# 353, Balls: White, Red, Red, Black
# 354, Balls: Blue, Green, Red, Blue
# 355, Balls: Blue, Black, Black, Black
# 356, Balls: Blue, Black, Red, White
# 357, Balls: White, Blue, Black, Green
# 358, Balls: Green, Blue, Blue, Black
# 359, Balls: Red, Green, Black, Red
# 360, Balls: White, Green, Black, Black
# 361, Balls: Green, Green, Red, Red
# 362, Balls: Black, Green, Blue, Green
# 363, Balls: White, Green, Red, Green
# 364, Balls: Red, Red, Red, Blue
# 365, Balls: Blue, Black, Red, White
# 366, Balls: Red, Green, Green, Black
# 367, Balls: Red, Red, Black, Blue
# 368, Balls: Blue, Black, Blue, White
# 369, Balls: White, White, Red, White
# 370, Balls: Blue, Black, Red, Black
# 371, Balls: Green, Red, White, Green
# 372, Balls: Red, White, Red, Blue
# 373, Balls: Red, White, Black, Blue
# 374, Balls: Red, Blue, Blue, White
# 375, Balls: Red, Red, Red, Red
# 376, Balls: Red, White, Blue, White
# 377, Balls: Blue, Blue, Blue, Red
# 378, Balls: Black, Blue, Blue, White
# 379, Balls: Green, Black, Green, White
# 380, Balls: Blue, Green, Blue, Green
# 381, Balls: White, Blue, Red, Red
# 382, Balls: Red, Red, White, White
# 383, Balls: Green, Green, Blue, Blue
# 384, Balls: White, Green, White, Blue
# 385, Balls: Red, White, Red, Green
# 386, Balls: Blue, Green, Green, Red
# 387, Balls: Green, Blue, Black, White
# 388, Balls: Red, Blue, Green, Green
# 389, Balls: Black, Green, Blue, Red
# 390, Balls: Black, Blue, Red, Red
# 391, Balls: Red, Blue, White, Blue
# 392, Balls: White, Green, Green, White
# 393, Balls: Red, Blue, Blue, Red
# 394, Balls: Black, Blue, Red, White
# 395, Balls: Green, Blue, Black, Green
# 396, Balls: Green, Green, Blue, Red
# 397, Balls: Blue, Red, Red, White
# 398, Balls: Green, Blue, White, Blue
# 399, Balls: Green, Black, Green, Green
# 400, Balls: Red, Red, Red, Black
# 401, Balls: Blue, White, White, White
# 402, Balls: Black, Blue, Blue, White
# 403, Balls: Red, Blue, Blue, Green
# 404, Balls: Red, White, White, Blue
# 405, Balls: White, White, Black, White
# 406, Balls: Red, Red, Green, Green
# 407, Balls: Green, Black, Blue, Black
# 408, Balls: Green, Green, White, Red
# 409, Balls: Green, White, Blue, Red
# 410, Balls: Blue, Blue, Black, Blue
# 411, Balls: Blue, Blue, Blue, Red
# 412, Balls: Blue, Blue, Blue, Blue
# 413, Balls: Black, Blue, Red, Blue
# 414, Balls: Red, Green, Blue, Blue
# 415, Balls: Red, White, Red, Green
# 416, Balls: Blue, Black, Red, White
# 417, Balls: Red, Blue, Blue, Black
# 418, Balls: Red, Green, Blue, Red
# 419, Balls: Red, Blue, Blue, Red
# 420, Balls: Black, Blue, Blue, Red
# 421, Balls: White, Red, Blue, Green
# 422, Balls: Red, Red, Green, White
# 423, Balls: Red, White, Red, Red
# 424, Balls: Blue, Red, Blue, Blue
# 425, Balls: Red, White, Red, Blue
# 426, Balls: Red, Black, Green, Green
# 427, Balls: Blue, Blue, Red, Red
# 428, Balls: Blue, Red, Red, Red
# 429, Balls: Blue, Black, Black, Blue
# 430, Balls: Blue, Red, Blue, Red
# 431, Balls: Red, Green, Red, Red
# 432, Balls: Red, Red, Red, Red
# 433, Balls: Blue, Blue, Green, Green
# 434, Balls: Green, Blue, Red, White
# 435, Balls: Red, Black, Red, Black
# 436, Balls: White, Green, Red, Black
# 437, Balls: Red, Blue, Red, Green
# 438, Balls: Red, Blue, Red, Blue
# 439, Balls: Black, Blue, Red, Blue
# 440, Balls: Red, Red, Red, Blue
# 441, Balls: White, Green, Red, Blue
# 442, Balls: Green, White, Green, Blue
# 443, Balls: Blue, White, Black, Blue
# 444, Balls: Green, Red, Blue, Blue
# 445, Balls: Black, Red, Green, White
# 446, Balls: White, White, White, Blue
# 447, Balls: Red, Green, White, Blue
# 448, Balls: Red, Blue, Blue, Red
# 449, Balls: Blue, Red, Black, Red
# 450, Balls: Red, Blue, Blue, Red
# 451, Balls: Blue, Black, Red, Blue
# 452, Balls: Black, Red, Red, Red
# 453, Balls: Red, Blue, Red, Blue
# 454, Balls: Red, White, Blue, Blue
# 455, Balls: White, Blue, Red, Black
# 456, Balls: Red, Blue, White, Blue
# 457, Balls: Green, Blue, Blue, Red
# 458, Balls: Black, Red, Black, Blue
# 459, Balls: Blue, Green, Green, Black
# 460, Balls: White, Black, Blue, Red
# 461, Balls: Blue, White, Blue, Blue
# 462, Balls: Blue, Green, Red, Red
# 463, Balls: White, White, Green, Red
# 464, Balls: Blue, White, Blue, Blue
# 465, Balls: Black, Blue, Red, Blue
# 466, Balls: Black, White, Red, Red
# 467, Balls: Green, Blue, Red, White
# 468, Balls: Red, Green, Red, Blue
# 469, Balls: Black, Red, Blue, Green
# 470, Balls: White, Red, Blue, Green
# 471, Balls: White, White, Red, Red
# 472, Balls: Black, Black, Blue, Black
# 473, Balls: Green, Blue, Red, Green
# 474, Balls: Black, Green, Green, Black
# 475, Balls: Blue, Blue, Blue, Blue
# 476, Balls: Blue, Red, Black, Red
# 477, Balls: Black, Blue, Blue, Green
# 478, Balls: Green, White, White, White
# 479, Balls: Green, Red, Blue, Blue
# 480, Balls: White, White, White, Black
# 481, Balls: Blue, Black, Green, Red
# 482, Balls: Black, Red, Blue, Green
# 483, Balls: Red, Blue, Blue, Blue
# 484, Balls: Blue, Blue, White, White
# 485, Balls: White, Black, Blue, Red
# 486, Balls: Red, Blue, Blue, White
# 487, Balls: White, Green, Green, Black
# 488, Balls: Red, Red, Blue, Blue
# 489, Balls: Green, Blue, Green, Blue
# 490, Balls: Blue, Blue, Red, Red
# 491, Balls: Blue, Blue, Green, Blue
# 492, Balls: Red, Red, Red, Red
# 493, Balls: Red, Blue, Green, Red
# 494, Balls: Red, Green, Red, Blue
# 495, Balls: Green, Green, Blue, Black
# 496, Balls: Red, Red, Green, Red
# 497, Balls: Red, Blue, Black, Blue
# 498, Balls: Blue, Blue, Red, Green
# 499, Balls: Blue, Blue, Blue, Red
# 500, Balls: Black, White, White, White
# 501, Balls: Green, Green, Blue, Green
# 502, Balls: Red, White, White, Red
# 503, Balls: Black, Blue, Black, Blue
# 504, Balls: Red, Red, White, Green
# 505, Balls: Red, Red, Blue, Blue
# 506, Balls: Red, Red, Blue, Green
# 507, Balls: Blue, Black, White, Blue
# 508, Balls: Blue, White, Blue, Blue
# 509, Balls: Red, Black, Green, Red
# 510, Balls: Red, White, Green, Black
# 511, Balls: Green, Blue, Red, Red
# 512, Balls: Red, Red, Green, Red
# 513, Balls: Black, Blue, Red, Blue
# 514, Balls: Red, White, Black, Red
# 515, Balls: Blue, White, White, Red
# 516, Balls: Blue, Green, Green, Blue
# 517, Balls: White, Red, Red, Blue
# 518, Balls: Blue, Blue, Red, Blue
# 519, Balls: Blue, White, Red, White
# 520, Balls: Blue, Red, Red, Red
# 521, Balls: Red, White, Green, Red
# 522, Balls: Green, Blue, Red, Blue
# 523, Balls: Black, Green, Green, Blue
# 524, Balls: White, Black, Red, Black
# 525, Balls: Blue, Red, Black, Blue
# 526, Balls: Green, Red, Blue, Red
# 527, Balls: Green, Green, Red, White
# 528, Balls: Red, Red, Blue, Blue
# 529, Balls: Green, Red, Red, White
# 530, Balls: Green, Black, Blue, Red
# 531, Balls: Red, White, Blue, Green
# 532, Balls: Black, Red, Blue, Red
# 533, Balls: Red, Black, Red, White
# 534, Balls: Blue, Green, Green, Blue
# 535, Balls: Red, Red, White, Blue
# 536, Balls: Red, Blue, Black, Red
# 537, Balls: Green, Blue, Blue, White
# 538, Balls: Black, Blue, Red, Red
# 539, Balls: Red, Blue, Blue, Green
# 540, Balls: Green, Green, Blue, Red
# 541, Balls: Blue, Blue, Black, Red
# 542, Balls: Blue, Blue, White, Black
# 543, Balls: Green, Red, Green, Blue
# 544, Balls: Green, White, Blue, Green
# 545, Balls: Green, White, Green, Black
# 546, Balls: Red, Blue, Red, Red
# 547, Balls: Red, Red, Red, Blue
# 548, Balls: Green, White, Green, Black
# 549, Balls: Red, Blue, Green, Black
# 550, Balls: Blue, Blue, Black, Red
# 551, Balls: Red, White, Red, White
# 552, Balls: Red, White, Red, Red
# 553, Balls: Blue, Blue, Red, Red
# 554, Balls: Blue, White, Blue, White
# 555, Balls: Blue, Red, Blue, Black
# 556, Balls: Blue, Red, Blue, Black
# 557, Balls: Black, Red, Blue, White
# 558, Balls: Red, Red, Red, Red
# 559, Balls: Red, Blue, Green, Green
# 560, Balls: Black, Red, White, Red
# 561, Balls: Blue, Green, Black, Blue
# 562, Balls: White, Green, Green, Blue
# 563, Balls: Blue, Black, Blue, Red
# 564, Balls: White, Green, Green, Red
# 565, Balls: Red, Green, Blue, Red
# 566, Balls: Blue, Green, Green, Blue
# 567, Balls: Blue, White, White, Red
# 568, Balls: Red, Red, Red, Black
# 569, Balls: White, Green, White, Green
# 570, Balls: White, Red, Blue, Red
# 571, Balls: Green, Red, Green, Green
# 572, Balls: Red, Blue, Red, Blue
# 573, Balls: Black, White, Blue, White
# 574, Balls: Red, Red, Black, Blue
# 575, Balls: Red, White, Green, White
# 576, Balls: Blue, Blue, Blue, Blue
# 577, Balls: Blue, White, Blue, Green
# 578, Balls: Green, Red, White, Green
# 579, Balls: Blue, Blue, Green, White
# 580, Balls: Blue, Red, White, Blue
# 581, Balls: Red, Green, Red, Blue
# 582, Balls: Red, Green, Blue, White
# 583, Balls: Black, Black, Blue, Blue
# 584, Balls: Green, Blue, Green, Green
# 585, Balls: Green, Red, Red, White
# 586, Balls: White, Red, Blue, Red
# 587, Balls: Green, Blue, Green, White
# 588, Balls: Blue, Green, Green, Green
# 589, Balls: Red, Red, Green, Blue
# 590, Balls: Black, Black, Red, Green
# 591, Balls: Blue, Blue, Red, Red
# 592, Balls: Red, Red, Black, Red
# 593, Balls: White, White, Red, Red
# 594, Balls: Black, Blue, Green, Black
# 595, Balls: Red, Red, Green, Green
# 596, Balls: Green, White, Blue, Blue
# 597, Balls: White, Green, Red, Black
# 598, Balls: Blue, Black, Blue, Black
# 599, Balls: White, Red, Red, Red
# 600, Balls: Blue, Blue, Blue, Blue
# 601, Balls: Blue, Blue, Blue, Blue
# 602, Balls: Black, Black, White, Red
# 603, Balls: Red, White, Red, Black
# 604, Balls: Blue, Red, Blue, White
# 605, Balls: Red, Green, Black, Red
# 606, Balls: Green, Blue, Red, Black
# 607, Balls: Blue, Red, Red, Black
# 608, Balls: Black, Blue, Green, Blue
# 609, Balls: Red, Red, Green, Red
# 610, Balls: Green, Blue, Red, Green
# 611, Balls: Red, Red, Red, Blue
# 612, Balls: Blue, Red, Blue, Green
# 613, Balls: Green, Blue, Blue, White
# 614, Balls: Blue, Green, Blue, Black
# 615, Balls: Blue, Blue, Red, Blue
# 616, Balls: Blue, Red, Red, Red
# 617, Balls: Red, Blue, Red, Green
# 618, Balls: Red, Red, Green, Blue
# 619, Balls: Blue, Green, Red, White
# 620, Balls: Red, Blue, Red, Blue
# 621, Balls: Red, Blue, Red, Blue
# 622, Balls: Black, Red, Blue, Black
# 623, Balls: White, Red, White, Blue
# 624, Balls: Red, Red, Green, Blue
# 625, Balls: White, Blue, Green, Blue
# 626, Balls: Red, Blue, Red, Blue
# 627, Balls: Red, Red, Red, Blue
# 628, Balls: Green, White, Red, Blue
# 629, Balls: Red, Blue, Blue, Red
# 630, Balls: Green, Blue, Blue, Black
# 631, Balls: White, Blue, Blue, White
# 632, Balls: Black, Green, Black, White
# 633, Balls: Blue, Red, Red, Blue
# 634, Balls: White, Blue, Green, Black
# 635, Balls: Green, White, Red, Red
# 636, Balls: Blue, White, Green, Red
# 637, Balls: Green, Green, Green, Blue
# 638, Balls: Red, Blue, Black, Red
# 639, Balls: Red, Red, Red, Red
# 640, Balls: Red, Blue, Red, White
# 641, Balls: Blue, Black, Blue, White
# 642, Balls: Blue, Green, White, Red
# 643, Balls: Blue, White, Red, Red
# 644, Balls: Blue, Red, Red, Blue
# 645, Balls: Green, Green, White, Blue
# 646, Balls: Black, Blue, Red, Blue
# 647, Balls: Red, Blue, Red, Red
# 648, Balls: Green, Red, Red, Green
# 649, Balls: White, Green, Green, Green
# 650, Balls: Green, Blue, Green, Blue
# 651, Balls: Red, White, Red, Green
# 652, Balls: Black, Red, Red, Red
# 653, Balls: Red, Green, White, Blue
# 654, Balls: Red, Red, Green, Black
# 655, Balls: Blue, Red, Green, White
# 656, Balls: Green, Black, Blue, White
# 657, Balls: White, Red, Red, Red
# 658, Balls: Blue, Black, Black, Blue
# 659, Balls: Red, White, Black, Blue
# 660, Balls: Blue, Green, Green, Red
# 661, Balls: Red, Blue, Red, Red
